r,u,residual
1.000000000000000021e-02,1.456974639055780068e-03,3.278196030704988613e-03
2.000000000000000042e-02,1.457460134040767467e-03,-1.819724926299670642e-15
2.999999999999999889e-02,1.457840584928930990e-03,8.725659084163339685e-16
4.000000000000000083e-02,1.458276821204095497e-03,-1.435483676370807871e-16
5.000000000000000278e-02,1.458801053045101319e-03,1.406860739017190554e-15
5.999999999999999778e-02,1.459424066395257312e-03,-3.335005882565411639e-16
7.000000000000000666e-02,1.460150536553183947e-03,-1.004838573459565509e-15
8.000000000000000167e-02,1.460982856580909060e-03,1.186550857568136053e-15
8.999999999999999667e-02,1.461922413450982483e-03,-1.316221437397402383e-15
1.000000000000000056e-01,1.462970098516965271e-03,1.313619352183437172e-15
1.100000000000000006e-01,1.464126539557572071e-03,-2.393051035110005387e-15
1.199999999999999956e-01,1.465392216811233286e-03,3.682817939498761461e-15
1.300000000000000044e-01,1.466767525469060522e-03,-2.020085487774991861e-15
1.400000000000000133e-01,1.468252811398219415e-03,3.252606517456513302e-17
1.499999999999999944e-01,1.469848392589303675e-03,-2.532696274926138358e-16
1.600000000000000033e-01,1.471554572574521134e-03,9.428222091933946558e-16
1.700000000000000122e-01,1.473371649123821547e-03,-1.117595599398057971e-15
1.799999999999999933e-01,1.475299920056268163e-03,7.801918833205689907e-16
1.900000000000000022e-01,1.477339687230353827e-03,-5.299580219109145673e-16
2.000000000000000111e-01,1.479491259351488949e-03,-7.840950111415168067e-16
2.099999999999999922e-01,1.481754953991753273e-03,6.800116025829083810e-16
2.200000000000000011e-01,1.484131099073339888e-03,1.208668581886840343e-15
2.300000000000000100e-01,1.486620033979668600e-03,-2.156261280639171218e-15
2.399999999999999911e-01,1.489222110403489634e-03,1.858756204509148802e-15
2.500000000000000000e-01,1.491937693006317950e-03,-1.030425744730223414e-15
2.600000000000000089e-01,1.494767159940672612e-03,1.973247953923618070e-15
2.700000000000000178e-01,1.497710903271339206e-03,-1.912532632264429822e-15
2.800000000000000266e-01,1.500769329321537593e-03,-2.775557561562891351e-16
2.899999999999999800e-01,1.503942858962731754e-03,-9.410874857174178487e-17
2.999999999999999889e-01,1.507231927861833526e-03,2.113326874608745243e-15
3.099999999999999978e-01,1.510636986696000175e-03,-9.566999970012091126e-16
3.200000000000000067e-01,1.514158501342683554e-03,-1.219944284480689589e-15
3.300000000000000155e-01,1.517796953050731291e-03,6.305719835175693788e-16
3.400000000000000244e-01,1.521552838596983539e-03,-3.890117394877989909e-16
3.500000000000000333e-01,1.525426670431794147e-03,1.134509153288831840e-15
3.599999999999999867e-01,1.529418976816145602e-03,-1.584669895304813281e-15
3.699999999999999956e-01,1.533530301952456707e-03,2.992831676928986440e-15
3.800000000000000044e-01,1.537761206110738839e-03,-3.415236843329338967e-15
3.900000000000000133e-01,1.542112265751427588e-03,2.604253618310181650e-15
4.000000000000000222e-01,1.546584073645943880e-03,-2.258609965721802837e-15
4.100000000000000311e-01,1.551177238995851042e-03,1.536964999715451086e-15
4.199999999999999845e-01,1.555892387551296736e-03,-1.217342199266724379e-15
4.299999999999999933e-01,1.560730161729319146e-03,1.000935445638617693e-15
4.400000000000000022e-01,1.565691220732482554e-03,5.724587470723463412e-16
4.500000000000000111e-01,1.570776240668238016e-03,-1.636277918715123292e-15
4.600000000000000200e-01,1.575985914669333129e-03,2.450296909817240021e-16
4.700000000000000289e-01,1.581320953015546028e-03,1.778091562876227272e-15
4.799999999999999822e-01,1.586782083256977824e-03,-1.426376378121929633e-15
4.899999999999999911e-01,1.592370050339100796e-03,9.961649560796814740e-16
5.000000000000000000e-01,1.598085616729731260e-03,-1.494897955423013514e-15
5.100000000000000089e-01,1.603929562548078031e-03,1.679212324745549267e-15
5.200000000000000178e-01,1.609902685695990734e-03,-2.574763319218575930e-15
5.300000000000000266e-01,1.616005801991525275e-03,2.802879456309526063e-15
5.400000000000000355e-01,1.622239745304921007e-03,-1.613292832658430598e-15
5.500000000000000444e-01,1.628605367697085436e-03,3.191891195797325054e-16
5.600000000000000533e-01,1.635103539560659553e-03,-1.331400267812199445e-16
5.700000000000000622e-01,1.641735149763742709e-03,1.230352625336550432e-15
5.799999999999999600e-01,1.648501105796339921e-03,-2.744766219864303025e-15
5.899999999999999689e-01,1.655402333919595579e-03,2.110724789394780032e-15
5.999999999999999778e-01,1.662439779317867548e-03,1.639313684798082704e-16
6.099999999999999867e-01,1.669614406253700422e-03,-3.391384395534657870e-16
6.199999999999999956e-01,1.676927198225743260e-03,-7.997075224253080705e-16
6.300000000000000044e-01,1.684379158129663398e-03,7.424616477180734364e-16
6.400000000000000133e-01,1.691971308422101240e-03,-5.186823193170653212e-16
6.500000000000000222e-01,1.699704691287711551e-03,1.428111101597906440e-15
6.600000000000000311e-01,1.707580368809332675e-03,-4.050579316405844565e-16
6.700000000000000400e-01,1.715599423141328126e-03,-2.114627917215727848e-15
6.800000000000000488e-01,1.723762956686139373e-03,2.454633718507182039e-15
6.900000000000000577e-01,1.732072092274091228e-03,-1.138845961978773857e-15
7.000000000000000666e-01,1.740527973346492124e-03,-2.654126918244514854e-16
7.099999999999999645e-01,1.749131764142064201e-03,1.232521029681521441e-15
7.199999999999999734e-01,1.757884649886746987e-03,-1.433315272025836862e-15
